StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,faculty
1,7.5,1,1,1,65,4.4,No,No,61,79,NotPlaced,Business Administration
2,8.9,0,3,2,90,4.0,Yes,Yes,78,82,Placed,Computer Science
3,7.3,1,2,2,82,4.8,Yes,No,79,80,NotPlaced,Computer Science
4,7.5,1,1,2,85,4.4,Yes,Yes,81,80,Placed,Civil Engineering
5,8.3,1,2,2,86,4.5,Yes,Yes,74,88,Placed,Electrical Engineering
6,7.0,0,2,2,71,4.2,Yes,No,55,66,NotPlaced,Computer Science
7,7.7,1,1,1,76,4.0,No,No,62,65,NotPlaced,Computer Science
8,7.7,2,1,0,85,3.5,Yes,Yes,59,72,NotPlaced,Computer Science
9,6.5,1,1,0,84,3.9,No,Yes,75,71,NotPlaced,Electrical Engineering
10,7.8,1,3,2,79,4.4,Yes,Yes,85,86,Placed,Biotechnology
11,8.3,2,3,2,90,4.8,Yes,Yes,82,88,Placed,Mechanical Engineering
12,7.9,1,3,2,90,4.8,Yes,Yes,71,87,Placed,Computer Science
13,8.3,2,3,2,90,4.5,Yes,Yes,84,83,Placed,Electrical Engineering
14,7.7,1,1,1,74,4.6,No,Yes,63,73,NotPlaced,Computer Science
15,7.5,1,1,1,66,4.1,No,No,61,66,NotPlaced,Business Administration
16,7.4,0,2,1,78,4.4,No,No,63,66,NotPlaced,Electrical Engineering
17,8.6,0,3,0,84,4.8,Yes,Yes,62,78,Placed,Business Administration
18,8.2,2,3,2,90,4.7,Yes,Yes,84,86,Placed,Computer Science
19,6.8,2,3,0,73,4.4,Yes,Yes,72,82,Placed,Computer Science
20,7.4,1,2,0,70,4.4,No,Yes,58,63,NotPlaced,Business Administration
21,7.6,2,1,0,84,4.4,No,Yes,77,75,Placed,Mechanical Engineering
22,7.4,1,2,1,72,3.5,No,Yes,82,69,Placed,Computer Science
23,7.7,0,1,0,77,3.4,No,Yes,55,72,Placed,Computer Science
24,7.4,1,1,0,60,3.8,No,No,55,71,NotPlaced,Civil Engineering
25,7.4,1,2,1,90,4.3,No,Yes,56,69,NotPlaced,Mechanical Engineering
26,6.7,1,1,1,70,4.0,No,No,68,57,NotPlaced,Computer Science
27,7.4,2,3,2,78,4.3,Yes,Yes,76,82,NotPlaced,Business Administration
28,8.3,1,1,1,81,4.5,Yes,Yes,64,65,NotPlaced,Biotechnology
29,7.5,1,2,1,84,4.4,No,No,66,73,NotPlaced,Computer Science
30,7.0,0,1,1,63,3.9,No,Yes,60,61,NotPlaced,Computer Science
31,8.4,2,3,2,90,4.6,Yes,Yes,55,80,Placed,Computer Science
32,7.4,1,2,1,76,4.7,No,Yes,66,69,NotPlaced,Mechanical Engineering
33,8.5,1,3,0,90,4.8,Yes,Yes,85,85,Placed,Civil Engineering
34,8.6,1,2,2,75,4.3,Yes,Yes,62,80,Placed,Computer Science
35,6.9,0,1,0,70,3.9,No,Yes,79,68,Placed,Computer Science
36,7.8,1,1,1,67,4.3,No,No,65,73,NotPlaced,Mechanical Engineering
37,8.3,1,2,2,89,4.8,Yes,Yes,75,81,Placed,Civil Engineering
38,8.2,1,2,2,77,4.2,No,Yes,72,72,Placed,Computer Science
39,8.5,2,3,3,90,4.7,Yes,Yes,79,86,Placed,Mechanical Engineering
40,6.7,0,3,2,88,4.2,Yes,Yes,72,86,Placed,Mechanical Engineering
41,8.6,2,3,1,90,4.8,Yes,Yes,63,84,Placed,Biotechnology
42,8.3,2,3,2,85,4.8,Yes,Yes,77,83,Placed,Civil Engineering
43,6.7,0,1,1,72,4.4,No,No,55,60,NotPlaced,Computer Science
44,8.6,2,3,2,88,4.7,Yes,Yes,80,87,Placed,Biotechnology
45,7.4,1,3,0,86,4.8,No,Yes,70,73,NotPlaced,Computer Science
46,6.7,1,1,2,73,4.5,No,No,55,66,Placed,Computer Science
47,6.9,1,1,1,76,4.4,No,No,55,65,NotPlaced,Civil Engineering
48,7.0,1,1,0,62,4.3,No,Yes,59,67,NotPlaced,Computer Science
49,8.1,1,3,2,90,4.6,Yes,Yes,77,87,Placed,Civil Engineering
50,7.7,1,2,0,74,3.8,Yes,No,55,66,NotPlaced,Biotechnology
51,6.5,0,2,1,77,4.8,No,Yes,56,65,NotPlaced,Business Administration
52,8.2,1,3,0,65,4.1,Yes,No,66,65,NotPlaced,Business Administration
53,8.1,2,3,2,90,4.7,Yes,Yes,82,82,Placed,Business Administration
54,6.5,1,2,1,80,4.5,Yes,Yes,72,67,NotPlaced,Computer Science
55,6.5,0,2,1,72,4.5,No,No,57,69,NotPlaced,Electrical Engineering
56,8.8,2,3,2,90,4.8,Yes,Yes,86,88,Placed,Biotechnology
57,8.0,1,1,0,74,4.5,Yes,Yes,55,65,NotPlaced,Computer Science
58,8.4,2,2,2,81,4.6,Yes,Yes,77,82,Placed,Business Administration
59,8.0,1,1,0,86,4.2,No,No,55,83,NotPlaced,Biotechnology
60,6.6,0,1,0,76,3.9,No,Yes,78,69,Placed,Mechanical Engineering
61,7.7,2,2,0,86,4.0,Yes,Yes,79,64,NotPlaced,Mechanical Engineering
62,8.2,1,2,1,86,4.3,Yes,Yes,86,63,Placed,Mechanical Engineering
63,7.2,1,2,0,74,4.1,No,No,70,65,NotPlaced,Computer Science
64,6.6,1,2,1,72,4.1,No,No,55,75,NotPlaced,Computer Science
65,7.6,1,2,0,77,4.6,Yes,No,84,67,NotPlaced,Mechanical Engineering
66,8.0,0,3,0,68,4.2,Yes,No,64,83,Placed,Computer Science
67,7.8,2,3,2,87,4.8,Yes,No,90,83,NotPlaced,Computer Science
68,7.2,1,1,0,82,4.6,Yes,Yes,57,64,NotPlaced,Computer Science
69,7.7,1,1,0,74,4.1,No,Yes,57,68,Placed,Computer Science
70,8.4,1,1,2,67,3.8,Yes,Yes,76,69,NotPlaced,Civil Engineering
71,7.5,1,1,1,69,4.3,No,Yes,71,76,NotPlaced,Civil Engineering
72,6.7,0,2,1,79,4.1,No,No,78,67,NotPlaced,Business Administration
73,8.1,2,3,2,90,4.8,Yes,Yes,80,86,Placed,Civil Engineering
74,7.5,1,2,0,73,4.4,No,No,66,84,NotPlaced,Business Administration
75,7.4,2,1,0,75,4.2,No,Yes,65,84,NotPlaced,Electrical Engineering
76,6.5,1,1,0,63,4.5,No,Yes,57,68,NotPlaced,Business Administration
77,8.1,1,3,1,90,4.6,Yes,Yes,73,86,Placed,Biotechnology
78,6.9,1,1,0,83,3.5,No,Yes,61,71,NotPlaced,Computer Science
79,8.2,1,3,0,83,4.8,Yes,Yes,71,84,Placed,Computer Science
80,7.6,1,2,1,72,3.9,No,Yes,58,66,NotPlaced,Business Administration
81,6.6,1,1,1,69,3.6,No,Yes,55,72,NotPlaced,Biotechnology
82,6.7,1,2,1,74,4.8,Yes,Yes,72,64,Placed,Biotechnology
83,8.2,2,3,2,76,4.5,Yes,Yes,73,82,NotPlaced,Electrical Engineering
84,8.3,2,3,1,90,4.2,Yes,Yes,82,83,Placed,Computer Science
85,7.6,0,2,0,86,4.8,Yes,Yes,57,72,Placed,Computer Science
86,6.7,1,3,0,87,4.6,Yes,No,81,69,NotPlaced,Business Administration
87,8.1,0,2,1,84,3.8,No,No,71,68,NotPlaced,Business Administration
88,8.5,1,2,2,79,3.9,Yes,Yes,76,66,Placed,Computer Science
89,8.8,1,3,0,76,4.7,Yes,Yes,75,84,Placed,Business Administration
90,7.2,1,2,0,68,4.2,Yes,Yes,57,66,NotPlaced,Mechanical Engineering
91,7.6,1,1,0,80,4.5,Yes,Yes,66,67,NotPlaced,Biotechnology
92,7.1,1,1,0,70,3.3,No,No,55,66,NotPlaced,Biotechnology
93,8.1,1,3,2,89,4.6,Yes,Yes,86,80,Placed,Computer Science
94,7.4,1,3,0,83,4.2,No,Yes,65,82,NotPlaced,Civil Engineering
95,7.7,2,2,2,85,4.8,Yes,Yes,74,83,NotPlaced,Business Administration
96,7.5,0,1,1,75,3.3,No,Yes,61,73,NotPlaced,Civil Engineering
97,7.5,1,1,0,64,4.0,No,No,73,66,NotPlaced,Electrical Engineering
98,7.8,2,2,2,90,4.8,Yes,No,81,82,Placed,Business Administration
99,7.7,1,3,1,89,4.6,No,Yes,61,84,Placed,Business Administration
100,7.9,0,1,2,83,4.8,Yes,No,58,81,NotPlaced,Computer Science
101,7.4,1,2,1,63,3.9,No,No,55,67,NotPlaced,Business Administration
102,7.3,1,1,0,80,4.7,No,Yes,64,65,NotPlaced,Electrical Engineering
103,6.5,1,1,1,62,3.8,No,Yes,58,65,NotPlaced,Civil Engineering
104,7.5,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced,Civil Engineering
105,6.5,1,1,0,68,4.1,No,No,61,66,NotPlaced,Computer Science
106,8.5,2,3,2,90,4.8,Yes,Yes,72,87,Placed,Computer Science
107,6.7,0,1,1,74,3.9,No,No,55,70,NotPlaced,Mechanical Engineering
108,6.5,0,1,0,82,4.4,No,No,65,69,NotPlaced,Mechanical Engineering
109,8.1,1,3,2,90,4.8,Yes,Yes,79,84,Placed,Civil Engineering
110,8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed,Biotechnology
111,8.0,1,1,3,84,4.0,No,Yes,57,61,NotPlaced,Computer Science
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced,Computer Science
113,7.4,1,1,1,81,4.1,Yes,No,55,62,NotPlaced,Mechanical Engineering
114,8.6,2,3,0,81,4.7,Yes,No,71,83,Placed,Computer Science
115,6.7,2,1,2,76,4.8,Yes,No,55,78,NotPlaced,Computer Science
